Text,Type
003884257406,CHECKING_AC
388425740636,SAVINGS_AC
004582371449,CHECKING_AC
458237144936,SAVINGS_AC
003251467380,CHECKING_AC
325146738036,SAVINGS_AC
005517325753,CHECKING_AC
551732575336,SAVINGS_AC
009553928489,CHECKING_AC
955392848936,SAVINGS_AC
009317538058,CHECKING_AC
931753805836,SAVINGS_AC
006385374473,CHECKING_AC
638537447336,SAVINGS_AC
009284747483,CHECKING_AC
928474748336,SAVINGS_AC
007883030377,CHECKING_AC
788303037736,SAVINGS_AC
006384050022,CHECKING_AC
638405002236,SAVINGS_AC
005899666971,CHECKING_AC
589966697136,SAVINGS_AC
005629172149,CHECKING_AC
562917214936,SAVINGS_AC
001131510083,CHECKING_AC
113151008336,SAVINGS_AC
009896818947,CHECKING_AC
989681894736,SAVINGS_AC
008174356909,CHECKING_AC
817435690936,SAVINGS_AC
009617839182,CHECKING_AC
961783918236,SAVINGS_AC
000824651090,CHECKING_AC
082465109036,SAVINGS_AC
001164211528,CHECKING_AC
116421152836,SAVINGS_AC
009012669117,CHECKING_AC
901266911736,SAVINGS_AC
008120112019,CHECKING_AC
812011201936,SAVINGS_AC
009216621395,CHECKING_AC
921662139536,SAVINGS_AC
004159991365,CHECKING_AC
415999136536,SAVINGS_AC
006482543334,CHECKING_AC
648254333436,SAVINGS_AC
008940009377,CHECKING_AC
894000937736,SAVINGS_AC
001497097400,CHECKING_AC
149709740036,SAVINGS_AC
007478024174,CHECKING_AC
747802417436,SAVINGS_AC
007669281812,CHECKING_AC
766928181236,SAVINGS_AC
005829862708,CHECKING_AC
582986270836,SAVINGS_AC
007645345199,CHECKING_AC
764534519936,SAVINGS_AC
007211984914,CHECKING_AC
721198491436,SAVINGS_AC
009070568735,CHECKING_AC
907056873536,SAVINGS_AC
007871893283,CHECKING_AC
787189328336,SAVINGS_AC
001570525057,CHECKING_AC
157052505736,SAVINGS_AC
008669178271,CHECKING_AC
866917827136,SAVINGS_AC
005278099679,CHECKING_AC
527809967936,SAVINGS_AC
007244475544,CHECKING_AC
724447554436,SAVINGS_AC
006387813898,CHECKING_AC
638781389836,SAVINGS_AC
002011519606,CHECKING_AC
201151960636,SAVINGS_AC
007354775930,CHECKING_AC
735477593036,SAVINGS_AC
008779334812,CHECKING_AC
877933481236,SAVINGS_AC
006310871921,CHECKING_AC
631087192136,SAVINGS_AC
006266419617,CHECKING_AC
626641961736,SAVINGS_AC
006070539119,CHECKING_AC
607053911936,SAVINGS_AC
005529435979,CHECKING_AC
552943597936,SAVINGS_AC
